역할,문서,항목,하위항목,추출값,정규화값,문단번호,근거위치,원문문장
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,방문·회기 횟수 / 참여 기간,방문횟수,총 2회 방문,2,10,"§3. 연구 절차, 문단 10","귀하는 총 2회 방문을 하게 되며, 1회 방문 시 약 90분이 소요됩니다."
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,소요시간,,90분,90,10,"§3. 연구 절차, 문단 10","귀하는 총 2회 방문을 하게 되며, 1회 방문 시 약 90분이 소요됩니다."
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,보상,,실비,실비,13,"§4. 보상, 문단 13",연구 참여에 대한 보상으로 교통비 실비가 지급됩니다.
동의서(보호자),ICF_보호자용_v1.2_20260825.docx,개인정보 보관기간,,3년간,36개월,15,"§5. 개인정보, 문단 15",귀하의 개인정보는 연구 종료 후 3년간 보관된 뒤 폐기됩니다.
동의서(성인),ICF_성인용_v1.2_20260825.docx,연구제목,국문,소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구,소아인공와우사용자대상음악기반청능재활앱의유효성탐색연구,1,표 1 행 1 (문단 1),연구제목 소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구
동의서(성인),ICF_성인용_v1.2_20260825.docx,문서 버전·날짜,버전,v1.2,1.2,2,표 1 행 2 (문단 2),버전 1.2
동의서(성인),ICF_성인용_v1.2_20260825.docx,문서 버전·날짜,날짜,2026-08-25,2026-08-25,3,표 1 행 3 (문단 3),날짜 2026-08-25
동의서(성인),ICF_성인용_v1.2_20260825.docx,연구책임자·기관,책임자,김가상,김가상,6,"§1. 연구 소개, 문단 6",연구책임자: 김가상 (가상대학교병원)
동의서(성인),ICF_성인용_v1.2_20260825.docx,연락처,전화,02-***-0000,02-***-0000,17,"§6. 연락처, 문단 17","연구에 대한 문의: 김가상 연구책임자, 전화 02-***-0000"
동의서(성인),ICF_성인용_v1.2_20260825.docx,대상자 수,,총 90명,90,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,대상자 수,,30명,30,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,대상자 수,,20명,20,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,대상자 수,,40명,40,8,"§2. 연구 대상, 문단 8","본 연구에는 총 90명(소아 30명, 보호자 20명, 성인 대조군 40명) 이 참여합니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,연령 범위,,만 5~12세,5~12,8,"§2. 연구 대상, 문단 8","소아는 만 5~12세, 성인은 만 19~45세입니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,연령 범위,,만 19~45세,19~45,8,"§2. 연구 대상, 문단 8","소아는 만 5~12세, 성인은 만 19~45세입니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,방문·회기 횟수 / 참여 기간,방문횟수,총 2회 방문,2,10,"§3. 연구 절차, 문단 10","귀하는 총 2회 방문을 하게 되며, 1회 방문 시 약 90분이 소요됩니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,소요시간,,90분,90,10,"§3. 연구 절차, 문단 10","귀하는 총 2회 방문을 하게 되며, 1회 방문 시 약 90분이 소요됩니다."
동의서(성인),ICF_성인용_v1.2_20260825.docx,보상,,실비,실비,13,"§4. 보상, 문단 13",연구 참여에 대한 보상으로 교통비 실비가 지급됩니다.
동의서(성인),ICF_성인용_v1.2_20260825.docx,개인정보 보관기간,,3년간,36개월,15,"§5. 개인정보, 문단 15",귀하의 개인정보는 연구 종료 후 3년간 보관된 뒤 폐기됩니다.
모집공고,모집공고안_v1.2.docx,연구제목,국문,소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구,소아인공와우사용자대상음악기반청능재활앱의유효성탐색연구,2,표 1 행 1 (문단 2),연구제목 소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구
모집공고,모집공고안_v1.2.docx,문서 버전·날짜,버전,v1.2,1.2,3,표 1 행 2 (문단 3),버전 1.2
모집공고,모집공고안_v1.2.docx,연락처,전화,02-***-0000,02-***-0000,7,문단 7,문의: 김가상 연구책임자 (가상대학교병원) / 연락처: 02-***-0000
모집공고,모집공고안_v1.2.docx,대상자 수,,30명,30,4,문단 4,"모집 인원: 소아 30명, 보호자 20명, 성인 대조군 40명 (총 90명)."
모집공고,모집공고안_v1.2.docx,대상자 수,,20명,20,4,문단 4,"모집 인원: 소아 30명, 보호자 20명, 성인 대조군 40명 (총 90명)."
모집공고,모집공고안_v1.2.docx,대상자 수,,40명,40,4,문단 4,"모집 인원: 소아 30명, 보호자 20명, 성인 대조군 40명 (총 90명)."
모집공고,모집공고안_v1.2.docx,대상자 수,,총 90명,90,4,문단 4,"모집 인원: 소아 30명, 보호자 20명, 성인 대조군 40명 (총 90명)."
모집공고,모집공고안_v1.2.docx,연령 범위,,만 5~12세,5~12,4,문단 4,모집 대상: 만 5~12세 인공와우 사용 소아와 만 19~45세 성인.
모집공고,모집공고안_v1.2.docx,연령 범위,,만 19~45세,19~45,4,문단 4,모집 대상: 만 5~12세 인공와우 사용 소아와 만 19~45세 성인.
모집공고,모집공고안_v1.2.docx,방문·회기 횟수 / 참여 기간,방문횟수,총 2회 방문,2,5,문단 5,총 2회 방문하며 1회 방문 시 약 90분이 소요됩니다.
모집공고,모집공고안_v1.2.docx,소요시간,,90분,90,5,문단 5,총 2회 방문하며 1회 방문 시 약 90분이 소요됩니다.
모집공고,모집공고안_v1.2.docx,보상,,실비,실비,6,문단 6,참여자에게는 교통비 실비 가 지급됩니다.
프로토콜,연구계획서_v1.2_20260825.docx,연구제목,국문,소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구,소아인공와우사용자대상음악기반청능재활앱의유효성탐색연구,1,표 1 행 1 (문단 1),연구제목 소아 인공와우 사용자 대상 음악 기반 청능재활 앱의 유효성 탐색 연구
프로토콜,연구계획서_v1.2_20260825.docx,문서 버전·날짜,버전,v1.2,1.2,2,표 1 행 2 (문단 2),Version No 1.2
프로토콜,연구계획서_v1.2_20260825.docx,문서 버전·날짜,날짜,2026-08-25,2026-08-25,3,표 1 행 3 (문단 3),작성일 2026-08-25
프로토콜,연구계획서_v1.2_20260825.docx,연구책임자·기관,책임자,김가상,김가상,4,표 1 행 4 (문단 4),연구책임자 이름 김가상
프로토콜,연구계획서_v1.2_20260825.docx,연구책임자·기관,기관,가상대학교병원,가상대학교병원,5,표 1 행 5 (문단 5),연구기관 가상대학교병원
프로토콜,연구계획서_v1.2_20260825.docx,연락처,전화,02-***-0000,02-***-0000,27,"§6. 개인정보 보호, 문단 27",문의: 연구책임자 김가상 (가상대학교병원) 전화 02-***-0000
프로토콜,연구계획서_v1.2_20260825.docx,대상자 수,,총 90명,90,11,"§3. 연구 대상자, 문단 11","연구 대상자는 총 90명이며, 소아군 30명, 보호자군 20명, 성인 대조군 40명으로 구성한다."
프로토콜,연구계획서_v1.2_20260825.docx,대상자 수,,30명,30,11,"§3. 연구 대상자, 문단 11","연구 대상자는 총 90명이며, 소아군 30명, 보호자군 20명, 성인 대조군 40명으로 구성한다."
프로토콜,연구계획서_v1.2_20260825.docx,대상자 수,,20명,20,11,"§3. 연구 대상자, 문단 11","연구 대상자는 총 90명이며, 소아군 30명, 보호자군 20명, 성인 대조군 40명으로 구성한다."
프로토콜,연구계획서_v1.2_20260825.docx,대상자 수,,40명,40,11,"§3. 연구 대상자, 문단 11","연구 대상자는 총 90명이며, 소아군 30명, 보호자군 20명, 성인 대조군 40명으로 구성한다."
프로토콜,연구계획서_v1.2_20260825.docx,연령 범위,,만 5~12세,5~12,12,"§3. 연구 대상자, 문단 12","소아군의 연령은 만 5~12세, 성인 대조군은 만 19~45세이다."
프로토콜,연구계획서_v1.2_20260825.docx,연령 범위,,만 19~45세,19~45,12,"§3. 연구 대상자, 문단 12","소아군의 연령은 만 5~12세, 성인 대조군은 만 19~45세이다."
프로토콜,연구계획서_v1.2_20260825.docx,방문·회기 횟수 / 참여 기간,방문횟수,총 2회 방문,2,21,"§4. 연구 방법, 문단 21",본 연구는 총 2회 방문으로 진행한다.
프로토콜,연구계획서_v1.2_20260825.docx,소요시간,,90분,90,21,"§4. 연구 방법, 문단 21",각 방문의 소요시간은 약 90분이다.
프로토콜,연구계획서_v1.2_20260825.docx,보상,,실비,실비,24,"§5. 대상자 모집 및 보상, 문단 24",대상자에게는 교통비 실비 지급 (해당 기관 기준 적용)한다.
프로토콜,연구계획서_v1.2_20260825.docx,개인정보 보관기간,,3년간,36개월,26,"§6. 개인정보 보호, 문단 26",수집된 개인정보는 연구 종료 후 3년간 보관한 뒤 폐기한다.
프로토콜,연구계획서_v1.2_20260825.docx,선정·제외기준,선정기준 개수,3개,3,13,"§3.1 선정기준, 문단 13",3.1 선정기준
프로토콜,연구계획서_v1.2_20260825.docx,선정·제외기준,선정항목,인공와우를 1년 이상 사용한 자,인공와우를1년이상사용한자,13,"§3.1 선정기준, 문단 13",인공와우를 1년 이상 사용한 자
프로토콜,연구계획서_v1.2_20260825.docx,선정·제외기준,선정항목,보호자가 서면 동의한 자,보호자가서면동의한자,13,"§3.1 선정기준, 문단 13",보호자가 서면 동의한 자
프로토콜,연구계획서_v1.2_20260825.docx,선정·제외기준,선정항목,한국어를 모국어로 사용하는 자,한국어를모국어로사용하는자,13,"§3.1 선정기준, 문단 13",한국어를 모국어로 사용하는 자
프로토콜,연구계획서_v1.2_20260825.docx,선정·제외기준,제외기준 개수,2개,2,17,"§3.2 제외기준, 문단 17",3.2 제외기준
프로토콜,연구계획서_v1.2_20260825.docx,선정·제외기준,제외항목,중복 장애가 있는 자,중복장애가있는자,17,"§3.2 제외기준, 문단 17",중복 장애가 있는 자
프로토콜,연구계획서_v1.2_20260825.docx,선정·제외기준,제외항목,최근 3개월 내 다른 임상연구에 참여한 자,최근3개월내다른임상연구에참여한자,17,"§3.2 제외기준, 문단 17",최근 3개월 내 다른 임상연구에 참여한 자
프로토콜,연구계획서_v1.2_20260825.docx,평가·검사 항목,,음악지각검사,음악지각검사,22,"§4. 연구 방법, 문단 22","평가 항목은 다음과 같다: 음악지각검사, 어음인지검사, 삶의질 설문지(QoL), 청능재활 만족도 척도."
프로토콜,연구계획서_v1.2_20260825.docx,평가·검사 항목,,어음인지검사,어음인지검사,22,"§4. 연구 방법, 문단 22","평가 항목은 다음과 같다: 음악지각검사, 어음인지검사, 삶의질 설문지(QoL), 청능재활 만족도 척도."
프로토콜,연구계획서_v1.2_20260825.docx,평가·검사 항목,,삶의질 설문지 (QoL),삶의질설문지,22,"§4. 연구 방법, 문단 22","평가 항목은 다음과 같다: 음악지각검사, 어음인지검사, 삶의질 설문지(QoL), 청능재활 만족도 척도."
프로토콜,연구계획서_v1.2_20260825.docx,평가·검사 항목,,청능재활 만족도 척도,청능재활만족도척도,22,"§4. 연구 방법, 문단 22","평가 항목은 다음과 같다: 음악지각검사, 어음인지검사, 삶의질 설문지(QoL), 청능재활 만족도 척도."
